Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
ecoli-0-2-3-4_vs_5-5-fold,0.960,0.965,0.960,0.960,0.960,0.965,0.750,0.800,0.750,0.750,0.750,0.800,0.853,0.867,0.853,0.853,0.853,0.867,0.790,0.817,0.790,0.790,0.790,0.817,0.854,0.880,0.854,0.854,0.854,0.880
glass-0-1-5_vs_2-5-fold,0.896,0.896,0.902,0.896,0.902,0.902,0.067,0.067,0.067,0.067,0.067,0.067,0.200,0.200,0.200,0.200,0.200,0.200,0.100,0.100,0.100,0.100,0.100,0.100,0.115,0.115,0.115,0.115,0.115,0.115
yeast-0-3-5-9_vs_7-8-5-fold,0.909,0.909,0.909,0.909,0.911,0.909,0.160,0.160,0.160,0.160,0.180,0.160,0.567,0.567,0.567,0.567,0.767,0.567,0.247,0.247,0.247,0.247,0.283,0.247,0.350,0.350,0.350,0.350,0.413,0.350
yeast-0-2-5-6_vs_3-7-8-9-5-fold,0.933,0.933,0.932,0.933,0.932,0.933,0.473,0.473,0.473,0.473,0.473,0.473,0.760,0.760,0.744,0.760,0.744,0.753,0.579,0.579,0.576,0.579,0.576,0.579,0.678,0.678,0.678,0.678,0.678,0.678
ecoli-0-4-6_vs_5-5-fold,0.971,0.971,0.971,0.971,0.971,0.966,0.800,0.800,0.800,0.800,0.800,0.800,0.893,0.893,0.893,0.893,0.893,0.853,0.835,0.835,0.835,0.835,0.835,0.813,0.883,0.883,0.883,0.883,0.883,0.880
ecoli-0-1_vs_2-3-5-5-fold,0.963,0.963,0.963,0.963,0.963,0.959,0.690,0.690,0.690,0.690,0.690,0.690,0.927,0.927,0.927,0.927,0.927,0.860,0.736,0.736,0.736,0.736,0.736,0.722,0.801,0.801,0.801,0.801,0.801,0.800
ecoli-0-2-6-7_vs_3-5-5-fold,0.951,0.955,0.951,0.951,0.960,0.960,0.630,0.670,0.630,0.630,0.710,0.630,0.850,0.850,0.850,0.850,0.850,0.950,0.698,0.733,0.698,0.698,0.761,0.731,0.777,0.805,0.777,0.777,0.829,0.780
glass-0-4_vs_5-5-fold,0.989,0.989,0.989,0.989,0.989,0.978,1.000,1.000,1.000,1.000,1.000,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.933,0.933,0.933,0.933,0.933,0.867,0.994,0.994,0.994,0.994,0.994,0.935
ecoli-0-3-4-6_vs_5-5-fold,0.966,0.966,0.966,0.966,0.971,0.966,0.750,0.750,0.750,0.750,0.800,0.750,0.910,0.910,0.910,0.910,0.910,0.910,0.804,0.804,0.804,0.804,0.842,0.804,0.856,0.856,0.856,0.856,0.888,0.856
ecoli-0-3-4-7_vs_5-6-5-fold,0.953,0.953,0.953,0.953,0.953,0.953,0.600,0.600,0.600,0.600,0.600,0.600,0.920,0.920,0.920,0.927,0.927,0.927,0.687,0.687,0.687,0.673,0.673,0.673,0.753,0.753,0.753,0.746,0.746,0.746
yeast-0-5-6-7-9_vs_4-5-fold,0.915,0.913,0.913,0.915,0.913,0.915,0.276,0.276,0.276,0.276,0.276,0.276,0.761,0.731,0.731,0.751,0.731,0.740,0.364,0.358,0.358,0.363,0.358,0.355,0.504,0.503,0.503,0.504,0.503,0.497
vowel0-5-fold,0.991,0.991,0.991,0.991,0.991,0.991,0.900,0.900,0.900,0.900,0.900,0.900,1.000,1.000,1.000,1.000,1.000,1.000,0.940,0.940,0.940,0.940,0.940,0.940,0.945,0.945,0.945,0.945,0.945,0.945
